Time, PC 1, PC 2, NPJ regime
2006-09-13T00:00:00.000000000,0.16982834056391408,-0.941405542047042,origin
2006-09-14T00:00:00.000000000,-0.06071972317772547,-0.4043389187376518,origin
2006-09-15T00:00:00.000000000,0.07017650171858264,0.22497218540546937,origin
2006-09-16T00:00:00.000000000,0.25630789876572735,0.40435562937233516,origin
2006-09-17T00:00:00.000000000,0.327574581681667,0.33530298220641946,origin
2006-09-18T00:00:00.000000000,0.40178323684338685,0.08749471093956937,origin
2006-09-19T00:00:00.000000000,0.28549863180755886,-0.10287647361437677,origin
2006-09-20T00:00:00.000000000,-0.09011983317263468,-0.18909071054588256,origin
2006-09-21T00:00:00.000000000,-0.004319631803455262,-0.297728113158677,origin
2006-09-22T00:00:00.000000000,0.06406667006037955,-0.1630612139365533,origin
2006-09-23T00:00:00.000000000,0.09881285264215146,0.15988435816910967,origin
2006-09-24T00:00:00.000000000,0.05852929089080816,0.36392462069542325,origin
2006-09-25T00:00:00.000000000,-0.16260454536571797,0.12197106696597572,origin
2006-09-26T00:00:00.000000000,-0.05375501369561076,0.10301220557387845,origin
2006-09-27T00:00:00.000000000,-0.25856453620180475,0.20851190067890116,origin
2006-09-28T00:00:00.000000000,-0.6714463834449055,-0.3544583704031131,origin
2006-09-29T00:00:00.000000000,-1.0167393261309348,-0.8419741501883733,retraction
2006-09-30T00:00:00.000000000,-0.9198032931463276,-0.644372762047187,retraction
2006-10-01T00:00:00.000000000,-0.6601075277959941,-0.2942584802615022,origin
2006-10-02T00:00:00.000000000,-0.3308056805661778,-0.28166021170743033,origin
2006-10-03T00:00:00.000000000,-0.20013024246865818,-0.4580260801485092,origin
2006-10-04T00:00:00.000000000,-0.28446171179475105,-0.25171581264732135,origin
2006-10-05T00:00:00.000000000,-0.3993943802583045,-0.032660731845384844,origin
2006-10-06T00:00:00.000000000,-0.24158506482519002,-0.13510428323344986,origin
2006-10-07T00:00:00.000000000,-0.2139109597143485,0.07986366549912916,origin
2006-10-08T00:00:00.000000000,0.30196575427926353,0.029956452470036636,origin
2006-10-09T00:00:00.000000000,0.7901310139504826,0.042915504051262106,origin
2006-10-10T00:00:00.000000000,1.1534473877976092,0.2717042647063804,extension
2006-10-11T00:00:00.000000000,0.9162450451550718,-0.15923408466325603,origin
2006-10-12T00:00:00.000000000,0.568975655018319,-0.27076671003832387,origin
2006-10-13T00:00:00.000000000,0.43027355532438716,0.020831061531441934,origin
2006-10-14T00:00:00.000000000,0.4167379975279645,0.45723980619661336,origin
2006-10-15T00:00:00.000000000,0.48138982145287584,0.05655510877068285,origin
2006-10-16T00:00:00.000000000,-0.2955242214270111,-0.31815450480999863,origin
2006-10-17T00:00:00.000000000,-0.45040591022228765,-0.18974815270916523,origin
2006-10-18T00:00:00.000000000,-0.21004645781005982,0.022684684854656863,origin
2006-10-19T00:00:00.000000000,-0.2424981567559276,0.1402507490653546,origin
2006-10-20T00:00:00.000000000,0.0408887435887567,-0.14903918377202954,origin
2006-10-21T00:00:00.000000000,-0.39750835780353305,-0.12357325954629794,origin
